"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"156",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"157",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"158",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"159",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"160",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"161",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"162",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"163",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"164",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"165",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"167",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"168",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"169",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"170",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"171",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"172",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"173",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"174",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"175",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"176",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"177",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"178",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"179",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"180",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"181",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"183",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"184",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"185",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"186",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"187",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"188",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"189",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
