"","xihao","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"126",137,0,0,0.1,0.1,0.3,0.4,0.4,0.5,0.7,0.8,1.2,1.7,2.4,5.1,7.2,9.5
"127",139,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.5,0.7,1.5,2.5,3.3
"129",142,0,0,0,0,0.2,0.3,0.2,0.3,0.3,0.5,0.6,0.6,0.9,1.7,2.3,3.7
"133",146,0,0,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.9,1,2.5,2.7,5.9
"134",147,0,0.1,0.3,0.3,0.5,0.5,0.5,0.9,1.1,1.3,1.5,1.9,2.6,3.9,4.9,7
"135",148,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,1.5,2.3,3.5
"136",149,0,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.9,1.1,1.7,2.4,3.4
"139",152,0,0,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.9,1.1,2.4,3.1,3.6
"140",153,0,0,0,0,0.4,0.3,0.4,0.5,0.5,0.6,0.8,0.8,1.2,2.3,3.8,5.8
"141",154,0,0.1,0.1,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.7,1.5,2,2.3
"142",155,0,0,0,0,0.2,0.2,0.2,0.2,0.1,0.3,0.4,0.4,0.7,1.7,2.8,4
"144",157,0,0,0,0.1,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.7,1.1,2.2,4,5.7
"145",158,0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.7,0.7,2,2.7,3.6
"146",159,0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.8,1.6,2.7,5.3
"147",160,0,0,0,0.1,0.3,0.2,0.2,0.3,0.4,0.5,0.5,0.8,1.1,2.5,3.8,6.2
